gfa,comb_add,use,ext_plan,developer,status,address,project,submarket,year,lon,lat
726000,"211 N Harbor Drive, 60611, Chicago, Illinois",Resi,Existing,Magellan / LendLease,Construction,211 N Harbor Drive,Cirrus,Lakeshore East,2022,-87.6146,41.8853
509000,"340 N Orleans St, 60654, Chicago, Illinois",Resi,Existing,Magellan / Kennedy / Hines,Stabilized,340 N Orleans St,WPW,River North,2016,-87.6383,41.8876
102000,"8 E Huron St, 60611, Chicago, Illinois",Resi,Existing,CA Ventures,Stabilized,8 E Huron St,State & Huron,River North,2017,-87.6276,41.8949
38000,"1825 W Montrose Ave, 60613, Chicago, Illinois",Resi,Existing,Cedar Street,Construction,1825 W Montrose Ave,Montrose Green,Lakeview,2019,-87.6755,41.9614
199000,"1457 N Halsted St, 60642, Chicago, Illinois",Resi,Existing,Structured/Bucksbaum,Stabilized,1457 N Halsted St,New City,Lincoln Park,2015,-87.6482,41.908
138000,"2340 N California Ave, 60647, Chicago, Illinois",Resi,Existing,Savoy / Focus/ Hunt,Stabilized,2340 N California Ave,Noca Blue,Logan Square,2019,-87.6977,41.924
515000,"345 E Wacker Dr, 60601, Chicago, Illinois",Resi,Existing,Magellan,Stabilized,345 E Wacker Dr,Coast,Lakeshore East,2013,-87.6184,41.8874
70000,"811 W Fulton Market, 60607, Chicago, Illinois",Office,Existing,Shapack,Stabilized,811 W Fulton Market,811 Fulton,Fulton Market,2019,-87.6478,41.8865
52000,"128 S Laflin St, 60607, Chicago, Illinois",Resi,Existing,Michigan Ave.,Construction,128 S Laflin St,Tramco Pump,Far West Loop,2021,-87.6647,41.8792
27000,"934 N Crosby St, 60654, Chicago, Illinois",Resi,Existing,Quest Realty,Stabilized,934 N Crosby St,943 Crosby,Near North,2017,-87.6433,41.9
358000,"935 W Washington Blvd, 60607, Chicago, Illinois",Resi,Existing,ZOM Mid-Atlantic,Lease Up,935 W Washington Blvd,Union West,West Loop,2019,-87.6512,41.8828
240000,"625 W Division St, 60610, Chicago, Illinois",Resi,Existing,Gerding,Stabilized,625 W Division St,Xavier,Near North,2015,-87.6443,41.9035
2500000,"433 W Van Buren St, 60607, Chicago, Illinois",Office,Existing,601 W,Stabilized,433 W Van Buren St,Post Office,West Loop,2019,-87.63865,41.87558
473000,"540 N State St, 60654, Chicago, Illinois",Resi,Existing,Magellan,Stabilized,540 N State St,Grand Plaza,River North,2002,-87.6283,41.8921
300000,"333 N Canal Street, 60606, Chicago, Illinois",Resi,Existing,Bejco,Stabilized,333 N Canal Street,Riverbend,River West,2002,-87.6396,41.8875
452000,"726 S Wells St, 60607, Chicago, Illinois",Resi,Existing,CMK,Lease Up,726 S Wells St,Cooper,Fulton Market,2018,-87.6337,41.873
50000,"33 S Aberdeen St, 60607, Chicago, Illinois",Resi,Existing,Steven Degraff,Lease Up,33 S Aberdeen St,Monroe Aberdeen Place,Fulton Market,2018,-87.6546,41.881
120000,"215 N Peoria St, 60607, Chicago, Illinois",Office,Existing,Wislow/Julmy,Construction,215 N Peoria St,215 N Peoria,Fulton Market,2020,-87.6495,41.8861
207000,"1664 W Division St, 60622, Chicago, Illinois",Resi,Existing,Centrum,Lease Up,1664 W Division St,Wicker Park Connection,Wicker Park,2018,-87.6697,41.9035
60000,"1325 N Wells St, 60610, Chicago, Illinois",Resi,Existing,Sedgwick,Stabilized,1325 N Wells St,1325 N Wells,Old Town,2019,-87.6342,41.9065
1027683,"111 S Wacker Dr, 60606, Chicago, Illinois",Office,Existing,TJBC,Stabilized,111 S Wacker Dr,Deloitte,West Loop,2004,-87.6365,41.8803
76000,"360 W Erie St, 60654, Chicago, Illinois",Resi,Existing,Belgravia,Stabilized,360 W Erie St,Citizen Bar,River North,2019,-87.6381,41.894
315000,"1375 W Fulton Market St, 60607, Chicago, Illinois",Office,Existing,Trammel Crow,Stabilized,1375 W Fulton Market St,West End,Fulton Market,2019,-87.6618,41.8862
467000,"225 N Columbus Dr, 60601, Chicago, Illinois",Resi,Existing,Magellan,Stabilized,225 N Columbus Dr,Aqua,Lakeshore East,2009,-87.6203,41.8866
90000,"12 W Maple St, Chicago, IL 60610",Resi,Existing,Lasky/Pisor,Construction,12 W Maple St,The Shops@,Gold Coast,2021,-87.62892,41.9021
504000,"111 W Wacker Dr, 60601, Chicago, Illinois",Resi,Existing,Related,Stabilized,111 W Wacker Dr,OneEleven,Loop,2014,-87.6314,41.8865
500000,"1326 S Michigan Ave, 60605, Chicago, Illinois",Resi,Existing,CIM / Murphy,Construction,1326 S Michigan Ave,Paragon,South Loop,2019,-87.6246,41.8649
1500000,"600 W Chicago, 60654, Chicago, IL",Office,Existing,Centrum,Stabilized,600 W Chicago,600W,River North,2000,-87.643502,41.896838
105000,"710 W Grand Ave, 60654, Chicago, Illinois",Resi,Existing,Wicker Park Apts.,Stabilized,710 W Grand Ave,710 W Grand,River West,2018,-87.6464,41.8914
188000,"220 W Illinois St, 60654, Chicago, Illinois",Resi,Existing,Gerding Edlin,Stabilized,220 W Illinois St,Jones,River North,2015,-87.6352,41.891
290000,"1330 W Fulton Market, 60607, Chicago, Illinois",Office,Existing,SBC,Stabilized,1330 W Fulton Market,Fulton West,Fulton Market,2017,-87.6603,41.887
40000,"165 N Aberdeen St, 60607, Chicago, Illinois",Office,Existing,MCZ,Stabilized,165 N Aberdeen St,165 N Aberdeen,Fulton Market,2017,-87.6542,41.8853
55000,"33 South Ashland Ave, 60607, Chicago, Illinois",Resi,Existing,Michigan Ave.,Stabilized,33 S Ashland Ave,Ashland Place,Fulton Market,2018,-87.6663,41.8806
409000,"71 W Hubbard St, 60654, Chicago, Illinois",Resi,Existing,AMLI,Stabilized,71 W Hubbard St,AMLI,River North,2013,-87.6307,41.8897
444000,"633 N Wells St, 60654, Chicago, Illinois",Resi,Existing,Magellan,Stabilized,633 N Wells St,Gallery,River North,2017,-87.6338,41.8933
148000,"1025 W Addison St, 60613, Chicago, Illinois",Resi,Existing,Bucksbaum,Lease Up,1025 W Addison St,Clark & Addison,Lakeview,2018,-87.6554,41.9471
99000,"1350 S Union Ave, 60607, Chicago, Illinois",Resi,Existing,Property Markets Group,Lease Up,1350 S Union Ave,X University Village,University Village,2018,-87.6449,41.8651
227000,"500 N Milwaukee Ave, 60654, Chicago, Illinois",Resi,Existing,Akara,Stabilized,500 N Milwaukee Ave,Kenect,River West,2016,-87.6485,41.8915
167000,"11 S Green St, 60607, Chicago, Illinois",Resi,Existing,Sy Taxman,Stabilized,11 S Green St,Gateway,Far West Loop,2015,-87.6482,41.8815
90000,"400 W. Huron St, 60654, Chicago, Illinois",Resi,Existing,Smithfield,Stabilized,400 W. Huron St,400 W Huron,River North,2017,-87.6387,41.895
135000,"1201 W Lake St, 60607, Chicago, Illinois",Office,Existing,McCaffery,Lease Up,1201 W Lake St,Twelve01West,Fulton Market,2018,-87.6573,41.885
479000,"808 S Michigan Ave, 60605, Chicago, Illinois",Resi,Existing,Oxford,Construction,808 S Michigan Ave,Essex on the Park,South Loop,2019,-87.6247,41.8715
227000,"730 W Couch Pl, 60661, Chicago, Illinois",Resi,Existing,Atlantic / Focus / Shapack,Stabilized,730 W Couch Pl,Parker,Fulton Market,2016,-87.646512,41.885308
45000,"900 W Randolph St, 60607, Chicago, Illinois",Office,Existing,Tucker,Stabilized,900 W Randolph St,Spaces,Fulton Market,2018,-87.6501,41.8846
684000,"549 West Grand Avenue, 60654, Chicago, Illinois",Resi,Existing,Draper & Kraper,Stabilized,549 W Grand Avenue,Kinzie Park,River West,2000,-87.641262,41.889893
240000,"750 N Hudson Ave, 60607, Chicago, Illinois",Resi,Existing,Onni,Stabilized,750 N Hudson Ave,Hudson,River North,2017,-87.6413,41.8963
